TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
03-04-1992,24,32.4,26.4,84,8888,5.3,4,310,2,N
04-04-1992,24,31.2,27.2,78,1.9,1.1,5,340,3,W
05-04-1992,24,33.8,28,74,0,2.5,5,340,3,NW
06-04-1992,24,34.2,28.2,75,0,8,4,270,2,W
07-04-1992,25,33.4,28.8,72,0,6.8,6,360,2,N
08-04-1992,25,33.6,28.5,72,0,4.7,5,120,2,W
09-04-1992,26,33.7,29.6,74,1.2,1.3,6,290,3,W
10-04-1992,25,34,28.8,68,0,5,6,250,2,W
11-04-1992,24,34.6,28.2,77,20.3,4,5,350,2,N
12-04-1992,25,32.8,27.5,75,2.7,6.7,4,330,2,N
13-04-1992,25,32.7,27.7,79,0.3,4.8,4,320,2,NW
14-04-1992,25,33.2,26.5,85,10.8,4.1,5,70,1,SW
15-04-1992,24,33.1,27.3,82,35,2.7,5,340,2,N
16-04-1992,24,31.4,26.3,84,8888,1.5,5,340,2,N
17-04-1992,25,31.7,27.7,81,0,3.3,4,20,2,N
18-04-1992,25,33.4,28.3,76,0.5,4.3,4,360,2,N
19-04-1992,25,33.2,29.3,73,0,8,5,30,2,N
20-04-1992,25,32.9,29.1,70,10.1,8,5,50,1,E
21-04-1992,24,32.9,28.2,80,23.6,6.1,4,160,2,SE
22-04-1992,24,33.6,27.5,81,0,2.5,5,30,2,N
23-04-1992,25,30.4,28.2,84,39.9,4,4,90,1,E
24-04-1992,24,31.9,28.4,76,0,2.3,5,20,1,NE
25-04-1992,25,30.9,27.7,78,8888,0.8,5,250,1,E
26-04-1992,25,32.3,28.3,73,0,1.4,3,40,2,E
27-04-1992,25,29.3,26.7,85,4.9,4.8,5,80,1,E
28-04-1992,25,33.1,28.4,74,21.5,4.8,6,320,2,NE
29-04-1992,25,32.8,27.5,80,0,1.1,6,110,2,E
30-04-1992,25,32.8,28.5,75,0.8,0.7,6,360,3,E
01-05-1992,26,33.2,29,76,0,5.3,5,70,2,E
02-05-1992,25,33.4,29.2,73,8888,6,5,80,2,NE
03-05-1992,25,33.1,28.4,75,0,5.8,4,70,2,E
04-05-1992,24,33.8,29.4,68,21.1,4.1,6,90,2,E
05-05-1992,25,33.9,29.1,78,0.3,7.1,5,70,2,E
06-05-1992,25,32.4,27.9,81,0,7.5,5,340,2,N
07-05-1992,25,31.4,27.9,79,0,2,3,90,2,E
08-05-1992,24,32.8,27.2,84,19,0,4,10,2,N
09-05-1992,24,30.2,27.2,80,0,2.3,5,350,2,N
10-05-1992,24,33.1,28.2,76,50.9,0,5,120,2,N
11-05-1992,24,31.9,27,84,2.8,6.1,3,110,0,N
12-05-1992,25,30.8,27.7,77,0,0,5,20,2,E
13-05-1992,24,32.6,28.9,72,0,5,5,340,2,N
14-05-1992,24,31.5,27.3,84,30.3,1,5,80,2,N
15-05-1992,23,31.2,25.8,89,17.8,2.7,5,290,2,W
16-05-1992,26,32,28.3,57,0,0,4,60,1,N
17-05-1992,24,32.7,28.6,74,0,4.5,4,20,2,N
18-05-1992,23,33.2,28.3,75,0,4.5,4,70,1,E
19-05-1992,26,32.9,28.6,74,0,5.7,5,20,2,N
20-05-1992,26,33.8,28.7,75,0,6.5,5,110,2,E
21-05-1992,26,33.6,28.5,75,0,5,4,30,2,E
22-05-1992,25,31.2,27.1,83,1.8,6.7,5,80,2,SW
23-05-1992,26,31.8,28.5,74,0,0,3,70,1,E
24-05-1992,25,32.7,29.3,69,0,7,4,40,2,N
25-05-1992,25,32.8,28.5,73,0,0,4,80,2,E
26-05-1992,24,31.8,27.7,80,44.9,4.5,6,120,2,S
27-05-1992,24,32.8,27.5,80,0,2,4,350,2,N
28-05-1992,25,32.1,27.8,78,0,5.5,3,20,2,N
29-05-1992,25,32.8,28.2,78,0,3.8,4,60,1,N
30-05-1992,25,32.4,28,80,60,3.3,3,50,1,E
31-05-1992,25,32.8,28.9,76,6.4,5.5,3,350,2,E
01-06-1992,25,31.8,,,8.6,3.4,,,1,N
02-06-1992,25,32,,,0.1,0,,,0,E
03-06-1992,24,32,,,0.5,1.8,,,1,N
04-06-1992,25,32.2,,,0,4.5,,,0,E
05-06-1992,24,33.1,,,4.5,3.7,,,0,E
06-06-1992,25,31.8,,,0,2.3,,,0,N
