TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-01-2022,25,32.4,28.9,75,0.5,4,3,260,1,C 
02-01-2022,26.6,32.4,28.2,82,0,3.5,6,220,2,W 
03-01-2022,25.8,32.8,29.2,72,0,2.9,5,320,2,C 
04-01-2022,25.8,32.4,28.9,71,,6.2,5,320,1,C 
05-01-2022,26.6,33,29.4,75,0,5.6,5,320,1,C 
06-01-2022,25.6,31.8,27.9,86,34.5,7.5,5,320,1,C 
07-01-2022,25.6,35,29.3,74,6.8,2,5,270,1,C 
08-01-2022,26.2,32.4,28.6,77,0.3,6.9,4,300,1,C 
09-01-2022,26.6,32.6,29.1,77,0,7,8,340,2,C 
10-01-2022,25.2,31.8,28.3,78,,1.5,7,330,2,C 
11-01-2022,24.8,31.4,26.9,86,24,1,7,340,1,C 
12-01-2022,24.4,31.2,26.7,87,27.2,3.4,7,320,2,C 
13-01-2022,24.6,30.8,27.2,84,15.6,5,6,340,1,C 
14-01-2022,24,31.4,26.5,88,13,0,4,360,1,C 
15-01-2022,24.6,29.4,26.7,86,4,0.6,5,340,1,C 
16-01-2022,25,29,27.4,87,0,0.4,6,320,2,C 
17-01-2022,25.2,30.8,28.1,82,12.8,0,6,330,1,C 
18-01-2022,25.2,29,26.3,92,8.1,4,6,320,2,NW
19-01-2022,24.4,30.2,27.3,84,204,0.2,8,320,2,C 
20-01-2022,24.6,29,26.2,83,6.6,5.8,4,260,1,C 
21-01-2022,24.8,31,27.6,79,8888,0,7,340,1,C 
22-01-2022,25,30.4,27.3,82,6,5,6,330,2,W 
23-01-2022,24.6,32.8,29.3,75,3.2,3.2,9,340,4,W 
24-01-2022,26.2,34.4,29.6,72,0,6,7,315,2,C 
25-01-2022,26.8,31.4,28.8,80,0,8,5,330,1,C 
26-01-2022,25,30,27.2,83,5.2,1.5,4,320,1,C 
27-01-2022,25.6,31.8,28.1,80,8888,0,5,340,2,C 
28-01-2022,25.6,32.4,28.7,78,5.2,6,5,270,1,C 
29-01-2022,25.8,30.8,27.9,80,0,3,6,350,2,C 
30-01-2022,25,31.8,28,81,,0.6,7,340,2,C 
31-01-2022,26,31.6,28,78,0,3.7,9,330,2,C 
01-02-2022,26,31.2,28.5,81,-,5,3,350,1,C
02-02-2022,24.4,31.2,28,82,4,5.5,7,340,1,C
03-02-2022,26.2,32,28.7,78,0,3.8,4,120,2,C
04-02-2022,23.6,31,26.9,86,88.3,5.8,7,320,2,C
05-02-2022,25,28.6,26,90,16.3,3.5,3,270,1,C
06-02-2022,25.2,31.4,27.9,81,41.5,0,8,320,3,C
07-02-2022,25,30.4,27.6,82,10,1.7,6,330,1,C
08-02-2022,25.4,28,26.5,91,6.5,5.8,6,320,0,C
09-02-2022,24.8,30.8,26.5,83,63.8,0,8,330,3,W
10-02-2022,24.8,31.2,27.4,78,1.2,6,6,290,2,C
11-02-2022,24.6,30.8,27.7,79,-,0.3,7,320,1,C
12-02-2022,25.4,29.6,27.8,81,0.4,0.5,7,320,2,C
13-02-2022,26.2,29.4,27.2,85,0,0,6,320,1,C
14-02-2022,25.2,30.6,26.5,86,8888,0.2,6,260,1,C
15-02-2022,24.2,32.6,27.1,88,23.5,0.1,5,300,1,C
16-02-2022,25,32.6,28.4,77,2.4,2.2,5,340,1,C
17-02-2022,24.8,31,27.3,85,47.5,7.8,4,310,1,C
18-02-2022,25,30,27.4,88,0.8,5,3,0,0,C
19-02-2022,25,32.4,28,84,2.7,0,4,280,1,C
20-02-2022,25.6,30.8,27.9,83,2.8,2.2,6,310,1,C
21-02-2022,26,32.4,28.5,74,0.8,1.6,5,350,1,C
22-02-2022,25.6,34.4,29.3,74,3,3,8,340,1,C
23-02-2022,24.6,32.2,27.6,79,1,2.5,5,320,2,NW
24-02-2022,24.4,33.2,28.6,67,17.8,0.6,7,270,2,W
25-02-2022,26.2,29.8,27.7,73,0,1.5,4,240,2,W
26-02-2022,24.6,32.4,27.9,75,2.5,1.2,5,260,2,W
27-02-2022,25.6,31.2,27.5,79,-,2.2,7,300,2,C
28-02-2022,25,31,28.1,78,1,2,8,230,2,C
01-03-2022,24.6,29.2,26.5,86,12.6,1.2,5,270,1,C
02-03-2022,24.6,32.4,27,84,5.2,0,4,270,2,W
03-03-2022,25.2,32.4,28.3,78,6.6,2.4,8,340,2,C
04-03-2022,25,31.6,28.1,78,3.7,7,6,320,1,C
05-03-2022,25.4,33.4,27.1,78,-,2,8,250,2,W
06-03-2022,25,32.8,27.9,77,12.1,2,7,300,4,W
07-03-2022,26.8,33,29.1,71,0,4.6,8,250,2,C
08-03-2022,25,32,27.8,80,-,1.1,5,330,1,C
09-03-2022,26,31.8,28.1,80,0.5,3,7,340,1,C
10-03-2022,26,32.4,28.5,77,-,1.4,9,320,2,C
11-03-2022,25.4,32,27.5,85,-,5.3,10,340,3,C
12-03-2022,25.8,31.8,27,89,7.5,6,3,340,1,C
13-03-2022,26.2,31.4,28,85,34.5,4,8,310,2,C
14-03-2022,26.4,33.6,28.7,80,2.6,4.5,7,320,1,C
15-03-2022,-,30.2,27.5,85,2.5,6,3,100,1,C
16-03-2022,25.2,33.4,28.7,77,6.2,0,5,330,1,C
17-03-2022,25.6,32,28.7,84,0.2,6.2,7,330,1,C
18-03-2022,26.4,33.6,29.2,79,0.4,4.1,4,270,1,C
19-03-2022,26,34.4,29.5,73,-,0.8,9,280,4,W
20-03-2022,27,35,30,64,0,5.6,5,300,3,W
21-03-2022,27.4,33.2,29.7,69,0,8,8,230,4,W
22-03-2022,26.8,32.6,29.1,74,-,5,6,330,1,C
23-03-2022,26,32.2,27.7,80,1.5,1.5,3,260,1,C
24-03-2022,25.4,33,28.3,78,5.3,1.8,8,330,1,C
25-03-2022,25.8,33.4,29.2,78,0,8,6,300,1,C
26-03-2022,26.6,30,26.6,88,-,4,4,330,1,C
27-03-2022,24.2,32.6,27.5,85,22.5,0,9,260,2,C
28-03-2022,25,32.2,28,81,14.4,7.4,8,340,1,C
29-03-2022,25.4,32.8,29.3,74,0,7.4,5,320,2,C
30-03-2022,26.6,32.6,29.1,76,-,4.5,4,320,1,C
31-03-2022,-,32.8,28.9,78,-,1.8,9,320,2,C
01-04-2022,26.4,31.6,28.5,76,0,5.2,3,270,0,C
02-04-2022,26.2,32.8,27.4,82,3.8,0.7,6,330,1,C
03-04-2022,26.4,33,26.7,83,18,4,8,330,2,C
04-04-2022,25,32.8,28.3,78,27.3,3.3,6,320,1,C
05-04-2022,25.6,32.4,27.6,81,0,7.6,6,340,1,C
06-04-2022,24.8,34.4,28.5,74,54,7,7,330,1,C
07-04-2022,25,33.6,28.9,76,8888,8,10,330,2,C
08-04-2022,25,34.2,28,76,8888,5.1,4,270,0,C
09-04-2022,25.6,32,28.5,73,45.7,3.7,4,330,1,C
10-04-2022,26,33.2,29.3,74,0,6.5,4,320,1,C
11-04-2022,26.4,32.8,28.2,78,-,7,6,320,1,C
12-04-2022,25,32.6,28.6,80,30,3.5,7,320,1,C
13-04-2022,26.4,31.6,28.8,80,1.7,4.1,3,340,1,C
14-04-2022,25.4,32.4,28.7,79,0.4,3.5,7,340,1,C
15-04-2022,26,34,29.9,81,-,6,5,320,1,C
16-04-2022,25,32.8,29.2,75,-,7.4,5,310,1,C
