TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
09-09-2024,28,33,28.6,74,0,7.9,8,320,2,C
10-09-2024,25.8,31.6,28,80,22.4,6.5,4,320,1,C
11-09-2024,25,34.2,29.6,67,0,1.6,5,120,1,C
12-09-2024,26.8,32.8,28.9,74,0,4.1,6,230,2,C
13-09-2024,24,32.4,27.6,79,48.7,4.9,7,90,1,C
14-09-2024,25,33.6,28.9,66,0,5.8,7,340,1,C
15-09-2024,25,33.6,28.8,69,0,5,4,340,1,C
16-09-2024,26.2,33.6,29,67,0,7.9,5,310,2,C
17-09-2024,26.8,33.6,28.8,65,0,6.5,4,310,2,NW
18-09-2024,26,33.2,28.3,67,0,5,8,320,2,C
19-09-2024,25,32.6,28.5,62,0,7.9,4,320,1,C
20-09-2024,26.4,32.6,29.1,71,0,8,5,320,1,C
21-09-2024,27,33.2,29.4,71,0,7.6,4,360,2,C
22-09-2024,27.2,34.4,29.8,76,0,8,5,340,1,C
23-09-2024,26,33.4,29.9,76,0,3.6,3,120,1,C
24-09-2024,26.4,33.4,28,82,0,4.5,5,150,1,C
25-09-2024,26.4,33.4,27.3,80,2,2.3,5,320,1,C
26-09-2024,23.6,33,27.6,81,44.4,6.2,8,300,1,C
27-09-2024,25,33.6,28.7,81,55,6,3,80,0,C
28-09-2024,25.6,34.6,30.6,73,0,8,5,60,2,C
29-09-2024,27.6,34.4,30.1,73,0,6.3,3,120,1,C
30-09-2024,27.2,34.6,30.1,71,0,7,3,70,1,C
01-10-2024,26,34.2,30.2,71,0,8,4,310,1,C
02-10-2024,27.8,34,30.5,70,0,8,5,320,1,C
03-10-2024,28.2,33.8,30.3,69,8888,6.8,4,110,1,C
04-10-2024,27.4,34.6,30.4,69,0,2.2,6,360,1,C
05-10-2024,26,32.6,29.6,72,0,5.4,6,350,2,C
06-10-2024,27.2,32.4,29.7,72,8888,7.5,6,320,1,C
07-10-2024,27,35.8,30.5,62,0,5.5,5,140,1,C
08-10-2024,27.4,34.8,30.6,64,0,8,6,320,1,C
09-10-2024,26,33.8,30.2,69,0,6.8,4,300,1,C
10-10-2024,28.2,34.2,30.9,69,0,8,7,320,1,C
11-10-2024,28.2,35.4,31,68,0,7.9,3,70,1,C
12-10-2024,28,34.6,30.6,70,0,8,5,340,1,C
13-10-2024,26,31.4,29.5,77,0,2.6,5,340,1,C
14-10-2024,27.2,32.4,29.6,73,0,0.4,4,340,1,C
15-10-2024,27,33.2,28.9,73,2.2,2.5,3,240,1,C
16-10-2024,26.8,34.6,30,72,0,3,4,330,1,C
